,TID,English,Arabic,Chinese Simplified,Chinese Traditional,Dutch,Filipino,Finnish,French,German,Hindi,Indonesian,Italian,Korean,Japanese,Malay,Norwegian,Polish,Portuguese,Portuguese Brazil,Russian,Spanish,Swedish,Thai,Turkish (old),Turkish,Vietnamese
233,Sonata in D Major K284 Mvt.3,Sonata in D Major K284 Mvt.3,Mvt.3 K284 سوناتا في سلم ري الكبير,D大调奏鸣曲 K284 第三章,D大調奏鳴曲 K284 第三章,Sonata in D Major K284 MVT.3,Sonata in D Major K284 Mvt.3,Sonaatti d Major K284 MVT.3,Sonata en D Major K284 MVT.3,Sonata in D Major K284 Mvt.3,सोनाटा इन डी मेजर K284 MVT.3,Sonata di D Mayor K284 MVT.3,Sonata in D maggiore K284 MVT.3,Sonata in D Major K284 Mvt. 3,ソナタ ニ長調 K284 第3楽章,Sonata di D Major K284 MVT.3,Sonata i D Major K284 MVT.3,Sonata w d mgier k284 mvt.3,Sonata em d major k284 mvt.3,Sonata em d major k284 mvt.3,Соната ре мажор K284 Mvt.3,Sonata en D Major K284 MVT.3,Sonata i D Major K284 MVT.3,Sonata ใน D Major K284 MVT.3,D majör K284 MVT.3,D Majör Sonatı K284 Bölüm 3,Sonata trong D Major K284 MVT.3
234,Derniere Pensee Musicale,Derniere Pensee Musicale,Derniere Pensee Musicale,最后的思念,最後的思念,Derniere Pensee Musicale,Derniere Pensee Musicale,Derniere kensee musikaali,Derniere Pensee Musicale,Derniere Pensee Musicale,डर्नियर पेंस म्यूजिकल,Derniere Pensee Musicale,Derniere Pensee Musicate,Derniere Pensee Musicale,最新の音楽的思考,Derniere Pensee Musicale,Derniere Pensee Musice,Derniere Pensee Musicle,Derniere Pensee Musicale,Derniere Pensee Musicale,Мюзикл Derniere Pensee,Derniere Pensee Musicale,Derniere Pensee Musice,Derniere Pensee Musicale,Son Müzik Düşüncesi,Son Müzik Düşüncesi,Derniere Pensee Musicle
235,La Cinquantaine,La Cinquantaine,الخمسينات,金婚曲,金婚曲,La cinquantaine,La Cinquantaine,La Cinquantaine,La Cinantaine,La Cinquantaine,ला सिनक्वेंटाइन,La Cinquanaine,La Cinquantaine,La Cinquantaine,金婚式,La Cinquantaine,La Cinquantaine,La Cinquantaine,La Cinquantaine,La Cinquantaine,Полувековой юбилей,La cinquantaine,La cinquantaine,La Cinquantaine,Elli,Elli,La Cinquantaine
236,Suite in D minor HWV 448 Courante,Suite in D minor HWV 448 Courante,Suite in D minor HWV 448 Courante,库朗特HWV 448,D小調組曲HWV 448,Suite in D Minor HWV 448 Courante,Suite in D minor HWV 448 Courante,Sviitti D -moll HWV 448 Courante,Suite en D Minor Hwv 448 Courante,Suite in D minor HWV 448 Courante,डी माइनर एचडब्ल्यूवी 448 कोर्टेंट में सुइट,Suite di D Minor HWV 448 Courante,Suite in D minore HWV 448 Courante,Suite in D minor HWV 448 Courante,組曲 ニ短調 HWV448 クーラント,Suite di D minor HWV 448 Courante,Suite i D -mindre HWV 448 Courante,Apartament w d -moll hwv 448 Courante,Suíte em D Menor HWV 448 Courente,Suíte em D Menor HWV 448 Courente,"Сюита ре минор HWV 448, Куранта",Suite en D Minor HWV 448 Courante,Svit i D -mindre HWV 448 Courante,ห้องสวีทใน D เล็กน้อย HWV 448 Courante,Süit D Minor Hwv 448 Courante,D minör Süiti HWV 448 Courante,Suite trong D Minor HWV 448 Courante
237,Waltz Op.64 No.3 in A Flat,Waltz Op.64 No.3 in A Flat,الفالسفيسلمميالمنخفض,圆舞曲Op.64 No.3,圓舞曲Op.64 No.3,Waltz Op.64 nr. 3 in een flat,Waltz Op.64 No.3 in A Flat,WALTZ OP.64 No.3 asunnossa,Waltz Op.64 No.3 dans un appartement,Waltz Op.64 Nr.3 in A Flat,एक फ्लैट में वाल्ट्ज op.64 No.3,Waltz Op.64 No.3 di sebuah flat,Waltz op.64 n. 3 in un appartamento,Waltz Op. 64 No. 3 in A Flat,ワルツ 変イ長調 OP.64-3,Waltz Op.64 No.3 di flat,Waltz Op.64 No.3 i en leilighet,Waltz op.64 nr 3 w mieszkaniu,Valsa op.64 No.3 em um apartamento,Valsa op.64 No.3 em um apartamento,Вальс соч. 64 № 3 A Flat,Waltz Op.64 No.3 en un piso,Waltz Op.64 No.3 i en platt,Waltz Op.64 No.3 ในแฟลต,Waltz Op.64 No.3 bir dairede,A bemol’da Vals Op.64 No.3,Waltz Op.64 số 3 trong một căn hộ
238,The Chatterbox Op.100 No.17,The Chatterbox Op.100 No.17,The Chatterbox Op.100 No.17,饶舌,饒舌,De chatterbox op.100 nr. 17,The Chatterbox Op.100 No.17,Chatterbox Op.100 No.77,The Chatterbox OP.100 No.17,The Chatterbox Op.100 Nr.17,Chatterbox Op.100 No.17,The Chatterbox Op.100 No.17,The Chatterbox Op.100 n. 17,The Chatterbox Op. 100 No. 17,チャッターボックス Op.100-17,The Chatterbox Op.100 No.17,Chatterbox Op.100 No.17,Chatterbox op.100 nr 17,O ChatterBox Op.100 No.17,O ChatterBox Op.100 No.17,Болтун Op.100 №17,El Chatterbox Op.100 No.17,Chatterbox Op.100 No.17,Chatterbox op.100 No.17,Chatterbox Op.100 No.17,Geveze Op.100 No.17,Chatterbox Op.100 No.17
239,Rondo in C Major WoO 48,Rondo in C Major WoO 48,WoO48الروندوفيسلمدوالكبير,C大调回旋曲,C大調迴旋曲,Rondo in C Major Woo 48,Rondo in C Major WoO 48,Rondo C -majuri Woo 48: ssa,Rondo en C Major Woo 48,Rondo in C Major WoO 48,रोंडो इन सी मेजर वू 48,Rondo di C Mayor Woo 48,Rondo in C Major Woo 48,Rondo in C Major WoO 48,ロンド ハ長調 WoO48,Rondo di C Major Woo 48,Rondo i C Major Woo 48,Rondo w C Major Woo 48,Rondo em c major woo 48,Rondo em c major woo 48,Рондо до мажор Ву 48,Rondo en C Major Woo 48,Rondo i C Major Woo 48,rondo ใน C Major Woo 48,C Major Woo 48'de Rondo,C Majör Rondo WoO 48,Rondo trong C Major Woo 48
240,Traum der Sennerin Op.45,Traum der Sennerin Op.45,Traum der Sennerin Op.45,高山少女之梦,高山少女之夢,Traum der sennerin op.45,Traum der Sennerin Op.45,Traum der Sennerin op.45,Traum Der Sennerin Op.45,Traum der Sennerin Op.45,ट्रॉम डेर सेननेरिन ओप .45,Traum der Sennerin Op.45,Traum der Sennerin op.45,Traum der Sennerin Op. 45,アルプスの乙女の夢,Traum der Sennerin Op.45,Traum der Sennerin Op.45,Traum der sennerin op.45,Traum der sennerin op.45,Traum der sennerin op.45,Сон пастушки Op.45,Traum der Sennerin Op.45,Traum der Sennerin Op.45,traum der sennerin op.45,Travma der Sennerin Op.45,Çoban Kızının Rüyası Op.45,Traum der Sennerin Op.45
241,Valse Bleue,Valse Bleue,الفالسالأزرق,蓝色圆舞曲,藍色圓舞曲,Valse Bleue,Valse Bleue,Valse Bleue,Valse Bleue,Valse Bleue,वैलस ब्लू,Valse Bleue,Valse Bleue,Valse Bleue,ブルーワルツ,Valse Bleue,Valse bleue,Valse Bleue,Valse bleue,Valse bleue,Голубой вальс,Valse bleue,Valsbleue,Valse Bleue,Değer,Mavi Vals,Valse Bleue
242,Love's Dream After the Ball,Love's Dream After the Ball,حلمالحببعدالكرة,舞会后的爱之梦,舞會後的愛之夢,Liefdes droom na de bal,Love's Dream After the Ball,Rakkauden unelma pallon jälkeen,Le rêve de l'amour après le ballon,Love's Dream After the Ball,गेंद के बाद प्यार का सपना,Mimpi Cinta Setelah Bola,Love's Dream dopo la palla,무도회 후 사랑의 꿈,舞踏の後にみる愛の夢,Impian Cinta Selepas Bola,Kjærlighetens drøm etter ballen,Marzenie miłości po piłce,Sonho do amor depois da bola,Sonho do amor depois da bola,Сон любви после бала,El sueño del amor después de la pelota,Kärleks dröm efter bollen,ความฝันของความรักหลังจากลูกบอล,Love'ın Toptan Sonra Rüyası,Balodan Sonra Aşkın Rüyası,Giấc mơ của tình yêu sau quả bóng
243,Fleurette-Romance Op.75 No.1,Fleurette-Romance Op.75 No.1,Fleurette-Romance Op.75 No.1,浪漫曲Op.75 No.1,浪漫曲Op. 75 No. 1,Fleurette-Romance Op.75 Nr. 1,Fleurette-Romance Op.75 No.1,Fleurette-Romance Op.75 No.1,Fleurette-Romance Op.75 No.1,Fleurette-Romance Op.75 Nr.1,Fleurette-Romance Op.75 No.1,Fleurette-Romance Op.75 No.1,Fleurette-Romance op.75 n. 1,플뢰레-로망스 Op.75 No.1,フルーレット - ロマンス Op.75-1,Fleurette-Romance Op.75 No.1,Fleurette-Romance Op.75 No.1,Fleurette-Romance Op.75 nr 1,Fleurette-Romance Op.75 No.1,Fleurette-Romance Op.75 No.1,Флерет-романс Op.75 №1,Fleurette-Romance Op.75 No.1,Fleurette-Romance Op.75 No.1,Fleurette-Romance Op.75 No.1,Fleurette Romansı Op.75 No.1,Fleurette Romansı Op.75 No.1,Fleurette-Romance Op.75 No.1
244,Le Rappel des oiseaux,Le Rappel des oiseaux,تذكيرالطيور,鸟语啁啾,鳥語啁啾,Le rappel des oiseaux,Le Rappel des oiseaux,Le Rappel des Oiseaux,Le rappel des oiseaux,Le Rappel des oiseaux,ले रैपेल डेस ओसोएक्स,Le rappel des oiseaux,Le Rappel des Oiseaux,Le Rappel des Oiseaux,鳥のさえずり,Le Rappel des Oiseaux,Le Rappel des oiseaux,Le Rappel des oiseaux,Le Rappel des Oiseaux,Le Rappel des Oiseaux,Перекликание птиц,Le Rappel des oiseaux,Le Rappel des Oiseaux,Le Rappel des oiseaux,Kuş Çağrısı,Kuş Çağrısı,Le Rappel des Oiseaux
245,Poupee valsante,Poupée valsante,فالسدمية,洋娃娃的舞蹈,洋娃娃的舞蹈,Poupée Valsante,Poupée valsante,Valsante,Poupe Valsante,Poupée valsante,पोपे वलसांटे,Poupée Valsante,Poupée Valsante,Poupée valsante,踊る人形,Poupée Valsante,Poupée Valsante,Poupée Valsante,Poupée Valsante,Poupée Valsante,Танцующая кукла,Poupée Valsante,Poupéealsante,Poupée Valsante,Dans Eden Bebek,Dans Eden Kukla,Poupée Valsante
246,Bourree in G Major Op.1 No.5,Bourree in G Major Op.1 No.5,Bourree in G Major Op.1 No.5,布列舞曲,布列舞曲,Bourree in G Major Op.1 Nr. 5,Bourree in G Major Op.1 No.5,Bourree G Major Op.1 No.5,Bourree in G Major Op.1 No.5,Bourree in G Major Op.1 Nr.5,जी प्रमुख op.1 नंबर 5 में बॉररी,Bourree di G Mayor Op.1 No.5,Bourree in G Major Op.1 n. 5,Bourree in G Major Op. 1 No. 5,ブーレ ト長調 Op.1-5,Bourree di G Major Op.1 No.5,Bourree i G Major Op.1 No.5,Bourree w G -Major Op.1 nr 5,Bourree em G Major Op.1 No.5,Bourree em G Major Op.1 No.5,Бурре соль мажор соч. 1 № 5,Bourree In G Major Op.1 No.5,Bourree i G Major Op.1 No.5,Bourree ใน G Major Op.1 No.5,G Major Op.1 No.5'te Bourree,G Majör Bourree Op.1 No.5,Bourree trong G Major Op.1 No.5
247,The Chinese Serenade,The Chinese Serenade,اللحنالغراميالصيني,中国小夜曲,中國小夜曲,De Chinese serenade,The Chinese Serenade,Kiinalainen serenadi,La sérénade chinoise,The Chinese Serenade,चीनी सेनेड,Serenade Cina,La serenata cinese,The Chinese Serenade,中国ノセレナーデ,Serenade Cina,Den kinesiske serenaden,Chińska serenada,A serenata chinesa,A serenata chinesa,Китайская серенада,La serenata china,Den kinesiska serenaden,เซเรเนดจีน,Çin Serenat,Çin Serenadı,Serenade Trung Quốc
248,Stephanie-Gavotte Op.312,Stephanie-Gavotte Op.312,Op.312ستيفاني-الرقصةالفرنسية,斯泰普哈尼-加沃特,斯泰普哈尼-加沃特,Stephanie-Gavotte Op.312,Stephanie-Gavotte Op.312,Stephanie-Gavotte op.312,Stephanie-Gavotte Op.312,Stephanie-Gavotte Op.312,स्टेफ़नी-गवोटे ओप .312,Stephanie-Gavotte Op.312,Stephanie-Gavotte Op.312,Stephanie-Gavotte Op. 312,ステファニー - ガボット Op.312,Stephanie-Gavotte Op.312,Stephanie-Gavotte Op.312,Stephanie-Gavotte op.312,Stephanie-Gavotte Op.312,Stephanie-Gavotte Op.312,Стефани-Гавот Соч. 312,Stephanie-Gavotte Op.312,Stephanie-Gavotte Op.312,Stephanie-Gavotte Op.312,Stephanie Gavottesi Op.312,Stephanie Gavottesi Op.312,Stephanie-Gavotte Op.312
249,Waltz Op.70 No.3 in D flat,Waltz Op.70 No.3 in D flat,الفالسفيسلمريالمنخفض,圆舞曲Op.70 No.3,圓舞曲Op.70 No.3,Waltz Op.70 No.3 in D flat,Waltz Op.70 No.3 in D flat,Waltz Op.70 No.3 Dlatessa,Waltz Op.70 n ° 3 en d plat,Waltz Op.70 Nr.3 in D flat,डी फ्लैट में वाल्ट्ज op.70 No.3,Waltz Op.70 No.3 di D Flat,Waltz Op.70 No.3 in d Flat,Waltz Op. 70 No. 3 in D flat,ワルツ 変ニ長調 OP.70-3,Waltz Op.70 No.3 di D Flat,Waltz Op.70 No.3 i D Flat,Waltz op.70 nr 3 w D Flat,Valsa op.70 No.3 em D Flat,Valsa op.70 No.3 em D Flat,"Вальс, соч. 70 № 3 в ре-бемоль",Waltz Op.70 No.3 en D Flat,Waltz Op.70 No.3 i D Flat,Waltz Op.70 No.3 ใน D Flat,Waltz Op.70 No.3,D bemol’da Vals Op.70 No.3,Waltz Op.70 No.3 in D Flat
250,Douze Etudes de Salon Op.5 No.11,Douze Etudes de Salon Op.5 No.11,Douze Etudes de Salon Op.5 No.11,爱之歌,愛之歌,Douze etudes de salon op.5 nr. 11,Douze Etudes de Salon Op.5 No.11,Douze Edues de Salon Op.5 No.11,Douze Etudes de Salon Op.5 No.11,Douze Etudes de Salon Op.5 No.11,डोज़ एट्यूड्स डे सैलून ओप .5 नं।,Double Etudes de Salon Op.5 No.11,Douze Etudes de Salon Op.5 No.11,Douze Etudes de Salon Op. 5 No. 11,サロン用練習曲 Op.5-11,Douze Etudes de Salon Op.5 No.11,Douze Etudes de Salon Op.5 No.11,Pode Euze de Salon op.5 nr 11,DOUZE ETUDES DE SALON OP.5 No.11,DOUZE ETUDES DE SALON OP.5 No.11,Двенадцать Этюдов для Гостиной,DOUZE ETUDES DE SALON OP.5 No.11,Douze Etudes de Salon Op.5 No.11,douze etudes de salon op.5 No.11,12 Salon Etüdü op.5 No.11,12 Salon Etüdü Op.5 No.11,Douze Etudes de Salon Op.5 No.11
251,Sonatina in D Op.168 No.5,Sonatina in D Op.168 No.5,No.5 Op.168 السوناتينا في سلم ري,小奏鸣曲 Op.168 No.5,小奏鳴曲Op.168 No.5,Sonatina in D Op.168 Nr. 5,Sonatina in D Op.168 No.5,Sonatina in d op.168 nro 5,Sonatina en D Op.168 n ° 5,Sonatina in D Op.168 Nr.5,सोनटिना में d op.168 No.5,Sonatina di D Op.168 No.5,Sonatina in D Op.168 No.5,Sonatina in D Op. 168 No. 5,ソナチネ ニ長調 Op.168-5,Sonatina di D Op.168 No.5,Sonatina i D Op.168 No.5,Sonatina w d op.168 nr 5,Sonatina em D Op.168 No.5,Sonatina em D Op.168 No.5,"Сонатина ре, Op.168 No.5",Sonatina en D Op.168 No.5,Sonatina i D OP.168 No.5,Sonatina in d op.168 No.5,"Sonatina, D op.168 No.5",D Sonatina Op.168 No.5,Sonatina trong D OP.168 No.5
252,Polish Dance Op.3 No.1,Polish Dance Op.3 No.1,No.1 Op.3 الرقصة البولندية,波兰舞曲 Op.3 No.1,波蘭舞曲Op.3 No.1,Poolse dans op.3 Nr. 1,Polish Dance Op.3 No.1,Puolan tanssi op.3 No.1,Dance polonaise Op.3 No.1,Polish Dance Op.3 Nr.1,पोलिश नृत्य op.3 नंबर 1,Tari Polandia Op.3 No.1,Dance polacco OP.3 n. 1,Polish Dance Op. 3 No. 1,ポーランド舞曲 OP.3-1,Tarian Poland Op.3 No.1,Polsk dans op.3 nr.1,Polski taniec op.3 nr 1,Polonês dança op.3 No.1,Polonês dança op.3 No.1,"Польский танец, Op.3 No.1",Danza polaca Op.3 No.1,Polsk dans op.3 nr 1,โปแลนด์ Dance Op.3 No.1,Lehçe Dance Op.3 No.1,Polonyalı Dans Op.3 No.1,Bức khiêu vũ Ba Lan Op.3 No.1
253,The Turkish Patrol Op.83,The Turkish Patrol Op.83,Op.83 الدورية التركية,土耳其巡逻兵,土耳其巡邏兵,De Turkse patrouille op.83,The Turkish Patrol Op.83,Turkin partio op.83,La patrouille turque op.83,The Turkish Patrol Op.83,तुर्की गश्ती op.83,Op.83 Patroli Turki,La pattuglia turca op.83,The Turkish Patrol Op. 83,トルコ軍のガード Op.83,Patrol Turki Op.83,Den tyrkiske patruljen OP.83,Turecki patrol op.83,A patrulha turca op.83,A patrulha turca op.83,"Турецкий патруль, Op.83",La patrulla turca Op.83,Den turkiska patrullen Op.83,การลาดตระเวนตุรกี op.83,Türk Devriyesi Op.83,Türk Devriyesi Op.83,Đội tuần tra Thổ Nhĩ Kỳ OP.83
254,Souvenir de Porto Rico,Souvenir de Porto Rico,Souvenir de Porto Rico,波多黎各的回忆,波多黎各的回憶,Souvenir de Porto Rico,Souvenir de Porto Rico,Matkamuisto de Porto Rico,Souvenir de Porto Rico,Souvenir de Porto Rico,स्मारिका डे पोर्टो रिको,Souvenir de porto rico,Souvenir de Porto Rico,Souvenir de Porto Rico,プエルト・リコの思い出,Cenderamata de porto rico,Souvenir de Porto Rico,Pamiątka de Porto rico,Souvenir de Porto Rico,Souvenir de Porto Rico,Воспоминание о Пуэрто-Рико,Souvenir de Porto rico,Souvenir de porto rico,ของที่ระลึกเดอปอร์โตริโก้,Souvenir de Porto Riko,Porto Rico Hatırası,Lưu niệm de porto rico
255,Minuetto,Minuetto,مينوت,小步舞曲,小步舞曲,Minuetto,Minuetto,Muuras,Minuetto,Minuetto,मिनुएटो,Minuetto,Minuetto,Minuetto,メヌエット ト長調,Minuetto,Minuetto,Minuetto,Minuetto,Minuetto,Минуэт,Minuetto,Minuett,มินูเนตโต,Minüet,Minüet,Minuetto
256,Trumpet Concerto Mvt.3,Trumpet Concerto Mvt.3,Trumpet Concerto Mvt.3,小号协奏曲 第三乐章,小號協奏曲 第三樂章,Trompetconcerto mvt.3,Trumpet Concerto Mvt.3,Trumpettikonserto mvt.3,Trumpet Concerto MVT.3,Trumpet Concerto Mvt.3,ट्रम्पेट कॉन्सर्टो MVT.3,Trumpet Concerto MVT.3,Tromba Concerto MVT.3,Trumpet Concerto Mvt. 3,トランペット協奏曲 第3楽章,Trumpet Concerto Mvt.3,Trumpet Concerto Mvt.3,Koncert trąbki Mvt.3,TRUMPTE CONCERTO MVT.3,TRUMPTE CONCERTO MVT.3,Трубный концерт Mvt.3,Concierto de trompeta MVT.3,Trumpetkonsert MVT.3,Trumpet Concerto Mvt.3,Trompet Konçertosu Mvt.3,Trompet Konçertosu Bölüm 3,Trumpet Concerto MVT.3
257,Arrival of the Queen of Sheba,Arrival of the Queen of Sheba,وصول ملكة سبأ,希巴女王的到来,希巴女王的到來,Aankomst van de koningin van Sheba,Arrival of the Queen of Sheba,Sheban kuningattaren saapuminen,Arrivée de la reine de Sheba,Ankunft der Königin von Scheba,शीबा की रानी का आगमन,Kedatangan ratu sheba,Arrivo della regina di Saba,Arrival of the Queen of Sheba,シバの女王の入城,Ketibaan Ratu Sheba,Ankomst av dronningen av Sheba,Przybycie królowej Sheby,Chegada da rainha de Sheba,Chegada da rainha de Sheba,Прибытие царицы Савской,Llegada de la reina de Sheba,Ankomsten av drottningen av Sheba,การมาถึงของราชินีแห่งเชบา,Sheba Kraliçesi'nin Gelişi,Seba Kraliçesi'nin Varışı,Sự xuất hiện của nữ hoàng của Sheba
258,Waltz Op.70 No.1,Waltz Op.70 No.1,No.1 Op.70 الفالس,圆舞曲 Op.70 No.1,圓舞曲 Op.70 No.1,Waltz Op.70 No.1,Waltz Op.70 No.1,Waltz Op.70 No.1,Waltz Op.70 No.1,Waltz Op.70 Nr.1,वाल्ट्ज ओपी .70 नंबर 1,Waltz Op.70 No.1,Waltz Op.70 n. 1,Waltz Op. 70 No. 1,ワルツ Op.70-1,Waltz Op.70 No.1,Waltz Op.70 No.1,Waltz op.70 nr 1,Waltz Op.70 No.1,Waltz Op.70 No.1,"Вальс, Op.70 No.1",Waltz Op.70 No.1,Waltz Op.70 No.1,Waltz Op.70 No.1,Vals Op.70 No.1,Vals Op.70 No.1,Waltz Op.70 số 1
259,Polonaise Op.53,Polonaise Op.53,Op.53 الرقصة البولندية,波罗乃兹 Op.53,波羅乃茲 Op.53,Polonaise Op.53,Polonaise Op.53,Polonaise op.53,Polonaise OP.53,Polonaise Op.53,Polonaise Op.53,Polonaise Op.53,Polonaise op.53,Polonaise Op. 53,ポロネーズ Op.53,Polonaise Op.53,Polonaise Op.53,Polonaise op.53,Polonaise op.53,Polonaise op.53,"Полонез, Op.53",Polonais Op.53,Polonaise Op.53,polonaise op.53,Polonez Op.53,Polonez Op.53,Polonaise Op.53
260,Miss Fox,Miss Fox,السيدة الثعلب,狐狸小姐,狐狸小姐,Miss Fox,Miss Fox,Neiti Fox,Miss Fox,Miss Fox,मिस फॉक्स,Nona Fox,Miss Fox,Miss Fox,ミス・フォックス,Miss Fox,Miss Fox,Panna Fox,Senhorita Fox,Senhorita Fox,Мисс Фокс,Señorita zorro,Miss Fox,คิดถึงฟ็อกซ์,Bayan Fox,Bayan Tilki,Cô Fox
261,Crazy pharaoh,Crazy pharaoh,الفرعون المجنون,疯狂的法老,瘋狂的法老,Gekke farao,Crazy pharaoh,Hullu faarao,Pharaon fou,Crazy pharaoh,पागल फिरौन,Firaun gila,Faraone pazzo,미친 파라오,クレイジー・ファラオ,Firaun gila,Gal farao,Szalony faraon,Faraó louco,Faraó louco,Сумасшедший фараон,Faraón loco,Crazy Farao,ฟาโรห์บ้า,Çılgın Firavun,Çılgın Firavun,Pharaoh điên rồ
262,Witches and strange cat,Witches and strange cat,الساحرة والقطة الغريبة,巫婆和怪猫,巫婆和怪貓,Heksen en vreemde kat,Witches and strange cat,Noita ja outo kissa,Sorcières et chat étrange,Witches and strange cat,चुड़ैलों और अजीब बिल्ली,Penyihir dan kucing aneh,Streghe e gatto strano,마녀와 이상한 고양이,魔女とおかしな猫,Penyihir dan kucing pelik,Hekser og merkelig katt,Czarownice i dziwny kot,Bruxas e gato estranho,Bruxas e gato estranho,Ведьмы и странный кот,Brujas y gato extraño,Häxor och konstig katt,แม่มดและแมวแปลก ๆ,Cadılar ve Garip Kedi,Cadılar ve Tuhaf Kedi,Phù thủy và mèo kỳ lạ
263,Rosita Polka,Rosita Polka,بولكا روزيتا,玫瑰波尔卡,玫瑰波爾卡,Rosita Polka,Rosita Polka,Rositan polka,Rosita Polka,Rosita Polka,रोजिता पोल्का,Rosita Polka,Rosita Polka,로지타 폴카,ロシータ（ポルカ）,Rosita Polka,Rosita Polka,Rosita polka,Rosita Polka,Rosita Polka,Россита Полька,Polka Rosita,Rosita polka,Rosita Polka,Rosita Polka,Rosita Polka,Rosita polka
264,Franz Xaver Scharwenka,Franz Xaver Scharwenka,Franz Xaver Scharwenka,克萨韦尔·沙尔文卡,克薩韋爾·沙爾文卡,Franz Xaver Scharwenka,Franz Xaver Scharwenka,Franz Xaver Scharwenka,Franz Xaver Scharwenka,Franz Xaver Scharwenka,फ्रांज ज़ेवर शार्वेंका,Franz Xaver Scharwenka,Franz Xaver Scharwenka,프란츠 자버 샤르벤카,フランツ・クサヴァー・シャルヴェンカ,Franz Xaver Scharwenka,Franz Xaver Scharwenka,Franz Xaver Scharwenka,Franz Xaver Scharwenka,Franz Xaver Scharwenka,Франц Ксавер Шарвенка,Franz Xaver Scharwenka,Franz Xaver Scharwenka,Franz Xaver Scharwenka,Franz Xaver Scharwenka,Franz Xaver Scharwenka,Franz Xaver Scharwenka
265,Theodor Michaelis,Theodor Michaelis,ثيودور ميخاليس,台奥多尔·米夏埃利斯,台奧多爾·米夏埃利斯,Theodor Michaelis,Theodor Michaelis,Theodor Michaelis,Theodor Michaelis,Theodor Michaelis,थियोडोर माइकलिस,Theodor Michaelis,Theodor Michaelis,테오도르 미카엘리스,テオドーレ・ミヒャエリス,Theodor Michaelis,Theodor Michaelis,Theodor Michaelis,Theodor Michaelis,Theodor Michaelis,Теодор Михаэлис,Theodor Michaelis,Theodor Michaelis,Theodor Michaelis,Theodor Michaelis,Theodor Michaelis,Theodor Michaelis
266,Piece in F Major K.33b,Piece in F Major K.33b,K.33b القطعة في سلم فا الكبير,F大调小品 K.33b,F大調小品 K.33b,Stuk in f major k.33b,Piece in F Major K.33b,Pala F -majuri K.33b,Pièce en F Major K.33b,Piece in F Major K.33b,एफ प्रमुख K.33b में टुकड़ा,Sepotong dalam f mayor k.33b,Pezzo in F maggiore K.33b,Piece in F Major K. 33B,小品 ヘ長調 K.33b,Sekeping di f major k.33b,Stykke i f major K.33b,Kawałek w F -maja K.33b,Peça em f maior k.33b,Peça em f maior k.33b,Пьеса фа мажор K.33b,Pieza en f mayor k.33b,Bit i F Major K.33b,ชิ้นส่วนใน F Major K.33b,F major K.33b'de parça,F Majör Parçası K.33b,Mảnh trong F Major K.33b
267,Rondo in D K.485,Rondo in D K.485,K.485 الروندو في سلم الري,D大调回旋曲 K.485,D大調迴旋曲 K.485,Rondo in D K.485,Rondo in D K.485,Rondo D K.485: ssä,Rondo dans d k.485,Rondo in D K.485,रोंडो में डी। K.485,Rondo di D K.485,Rondo in d K.485,Rondo in D K. 485,ロンド ニ長調 K.485,Rondo di D K.485,Rondo i D K.485,Rondo w D K.485,Rondo em d k.485,Rondo em d k.485,Рондо ре К. 485,Rondo en D K.485,Rondo i D K.485,rondo ใน d k.485,"Rondo, D K.485",D Rondo K.485,Rondo trong D K.485
268,Menuet celebre Op.14 No.1,Menuet celebre Op.14 No.1,No.1 Op.14 المينيويت المشهور,G大调小步舞曲 Op.14,G大調小步舞曲 Op.14,Menuet celebre Op.14 Nr. 1,Menuet celebre Op.14 No.1,MENUET Celebre Op.14 No.1,Menuet Celebre Op.14 No.1,Menuet celebre Op.14 Nr.1,Menuet celebre op.14 No.1,Menuet Celebre Op.14 No.1,MenuEt Celebre Op.14 No.1,Menuet celebre Op.14 No.1,メヌエット セレーブル Op.14-1,Menuet Celebre Op.14 No.1,Menuet celebre op.14 No.1,Menuet Celebre op.14 nr 1,Menuet Celebre Op.14 No.1,Menuet Celebre Op.14 No.1,Менуэт селебр Op.14 No.1,Menuet Celebre Op.14 No.1,Menuet Celebre Op.14 No.1,Menuet Celebre Op.14 No.1,Ünlü Minüet Op.14 No.1,Ünlü Minüet Op.14 No.1,Menuet Celebre Op.14 No.1
269,Fairy Waltz,Fairy Waltz,فالس الجنية,仙女圆舞曲,仙女圓舞曲,Fairy Waltz,Fairy Waltz,Keiju valssi,Waltz de fée,Fairy Waltz,फेयरी वाल्ट्ज,Peri Waltz,Fata Waltz,Fairy Waltz,妖精のワルツ,Fairy Waltz,Fairy Waltz,Fairy Waltz,Valsa de fada,Valsa de fada,Сказочный Вальс,Vals de hadas,Älvvals,Fairy Waltz,Peri vals,Peri Valsi,Fairy Waltz
